'LBL_PORTAL_ACTIVE','LBL_PORTAL_ACTIVE',"'Portal Aktiv:',","'Portal Active:',",Leads
'LBL_PORTAL_APP','LBL_PORTAL_APP',"'Portal Anwendung',","'Portal Application',",Leads
'LBL_PORTAL_INFORMATION','LBL_PORTAL_INFORMATION',"'Portal Information',","'Portal Information',",Leads
'LBL_PORTAL_NAME','LBL_PORTAL_NAME',"'Portal Name:',","'Portal Name:',",Leads
'LBL_PORTAL_PASSWORD_ISSET','LBL_PORTAL_PASSWORD_ISSET',"'Portal Password ist gesetzt:',","'Portal Password Is Set:',",Leads
'LBL_POSTAL_CODE','LBL_POSTAL_CODE',"'PLZ:',","'Postal Code:',",Leads
'LBL_STREET','LBL_STREET',"'Straße',","'Street',",Leads
'LBL_PRIMARY_ADDRESS_CITY','LBL_PRIMARY_ADDRESS_CITY',"'Hauptadresse Ort',","'Primary Address City',",Leads
'LBL_PRIMARY_ADDRESS_COUNTRY','LBL_PRIMARY_ADDRESS_COUNTRY',"'Hauptadresse Land',","'Primary Address Country',",Leads
'LBL_PRIMARY_ADDRESS_POSTALCODE','LBL_PRIMARY_ADDRESS_POSTALCODE',"'Hauptadresse PLZ',","'Primary Address Postalcode',",Leads
'LBL_PRIMARY_ADDRESS_STATE','LBL_PRIMARY_ADDRESS_STATE',"'Hauptadresse Bundesland',","'Primary Address State',",Leads
'LBL_PRIMARY_ADDRESS_STREET_2','LBL_PRIMARY_ADDRESS_STREET_2',"'Hauptadresse Straße 2',","'Primary Address Street 2',",Leads
'LBL_PRIMARY_ADDRESS_STREET_3','LBL_PRIMARY_ADDRESS_STREET_3',"'Hauptadresse Straße 3',","'Primary Address Street 3',",Leads
'LBL_PRIMARY_ADDRESS_STREET','LBL_PRIMARY_ADDRESS_STREET',"'Hauptadresse Straße',","'Primary Address Street',",Leads
'LBL_PRIMARY_ADDRESS','LBL_PRIMARY_ADDRESS',"'Hauptadresse:',","'Primary Address:',",Leads
'LBL_REFERED_BY','LBL_REFERED_BY',"'Empfohlen von:',","'Referred By:',",Leads
'LBL_REPORTS_TO_ID','LBL_REPORTS_TO_ID',"'Berichtet an ID',","'Reports To ID',",Leads
'LBL_REPORTS_TO','LBL_REPORTS_TO',"'Berichtet an:',","'Reports To:',",Leads
'LBL_REPORTS_FROM','LBL_REPORTS_FROM',"'Berichtet von:',","'Reports From:',",Leads
'LBL_SALUTATION','LBL_SALUTATION',"'Anrede',","'Salutation',",Leads
'LBL_MODIFIED','LBL_MODIFIED',"'Geändert von',","'Modified By',",Leads
'LBL_MODIFIED_ID','LBL_MODIFIED_ID',"'Geändert von ID',","'Modified By Id',",Leads
'LBL_CREATED','LBL_CREATED',"'Erstellt von',","'Created By',",Leads
'LBL_CREATED_ID','LBL_CREATED_ID',"'Erstellt von ID',","'Created By Id',",Leads
'LBL_SEARCH_FORM_TITLE','LBL_SEARCH_FORM_TITLE',"'Interessenten Suche',","'Lead Search',",Leads
'LBL_SELECT_CHECKED_BUTTON_LABEL','LBL_SELECT_CHECKED_BUTTON_LABEL',"'Markierte Interessenten auswählen',","'Select Checked Leads',",Leads
'LBL_SELECT_CHECKED_BUTTON_TITLE','LBL_SELECT_CHECKED_BUTTON_TITLE',"'Markierte Interessenten auswählen',","'Select Checked Leads',",Leads
'LBL_STATE','LBL_STATE',"'Bundesland:',","'State:',",Leads
'LBL_STATUS_DESCRIPTION','LBL_STATUS_DESCRIPTION',"'Beschreibung:',","'Status Description:',",Leads
